trait_tissue	trait_desc	trait_seqid	trait_gene_ids	trait_protein_ids	notes_sex	notes_source_id	notes_maker	notes_maker_platform_technology	notes_maker_platform_description	notes_maker_platform_version
Plasma	SH3 domain-containing kinase-binding protein 1	24962-7	ENSG00000147010	Q96B97	combined	seq.24962.7	Somalogic	proteomics	SomaScan	7k
Plasma	Armadillo repeat-containing protein 3	24963-1	ENSG00000165309	Q5W041	combined	seq.24963.1	Somalogic	proteomics	SomaScan	7k
Plasma	Protocadherin-1	24967-4	ENSG00000156453	Q08174	combined	seq.24967.4	Somalogic	proteomics	SomaScan	7k
Plasma	T-lymphoma invasion and metastasis-inducing protein 2	24968-10	ENSG00000146426	Q8IVF5	combined	seq.24968.10	Somalogic	proteomics	SomaScan	7k
Plasma	Serrate RNA effector molecule homolog	24970-117	ENSG00000087087	Q9BXP5	combined	seq.24970.117	Somalogic	proteomics	SomaScan	7k
Plasma	Phosphatidylinositide phosphatase SAC2	24971-2	ENSG00000198825	Q9Y2H2	combined	seq.24971.2	Somalogic	proteomics	SomaScan	7k
Plasma	MICAL-like protein 1	24973-11	ENSG00000100139	Q8N3F8	combined	seq.24973.11	Somalogic	proteomics	SomaScan	7k
Plasma	Fc receptor-like A	24975-3	ENSG00000132185	Q7L513	combined	seq.24975.3	Somalogic	proteomics	SomaScan	7k
Plasma	Villin-like protein	24977-18	ENSG00000136059	O15195	combined	seq.24977.18	Somalogic	proteomics	SomaScan	7k
Plasma	Eukaryotic translation initiation factor 3 subunit B	24979-17	ENSG00000106263	P55884	combined	seq.24979.17	Somalogic	proteomics	SomaScan	7k
Plasma	Cytoplasmic dynein 1 light intermediate chain 1	24981-8	ENSG00000144635	Q9Y6G9	combined	seq.24981.8	Somalogic	proteomics	SomaScan	7k
Plasma	MAGUK p55 subfamily member 5	24982-33	ENSG00000072415	Q8N3R9	combined	seq.24982.33	Somalogic	proteomics	SomaScan	7k
Plasma	ELKS/RAB6-interacting/CAST family member 1	24983-119	ENSG00000082805	Q8IUD2	combined	seq.24983.119	Somalogic	proteomics	SomaScan	7k
Plasma	Angiopoietin-4	2500-2	ENSG00000101280	Q9Y264	combined	seq.2500.2	Somalogic	proteomics	SomaScan	7k
Plasma	Cadherin-1	2501-51	ENSG00000039068	P12830	combined	seq.2501.51	Somalogic	proteomics	SomaScan	7k
Plasma	Transitional endoplasmic reticulum ATPase	25033-194	ENSG00000165280	P55072	combined	seq.25033.194	Somalogic	proteomics	SomaScan	7k
Plasma	Ran GTPase-activating protein 1	25036-10	ENSG00000100401	P46060	combined	seq.25036.10	Somalogic	proteomics	SomaScan	7k
Plasma	Aspartyl aminopeptidase	25037-4	ENSG00000123992	Q9ULA0	combined	seq.25037.4	Somalogic	proteomics	SomaScan	7k
Plasma	Wee1-like protein kinase 2	25038-5	ENSG00000214102|ENSG00000263042	P0C1S8	combined	seq.25038.5	Somalogic	proteomics	SomaScan	7k
Plasma	Kelch-like protein 3	25039-10	ENSG00000146021	Q9UH77	combined	seq.25039.10	Somalogic	proteomics	SomaScan	7k
Plasma	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 4	25041-11	ENSG00000114268	Q16877	combined	seq.25041.11	Somalogic	proteomics	SomaScan	7k
Plasma	NAD-dependent malic enzyme, mitochondrial	25042-3	ENSG00000082212	P23368	combined	seq.25042.3	Somalogic	proteomics	SomaScan	7k
Plasma	Succinyl-CoA:3-ketoacid-coenzyme A transferase 1, mitochondrial	25043-74	ENSG00000083720	P55809	combined	seq.25043.74	Somalogic	proteomics	SomaScan	7k
Plasma	Protein kinase C and casein kinase substrate in neurons protein 2	25048-30	ENSG00000100266	Q9UNF0	combined	seq.25048.30	Somalogic	proteomics	SomaScan	7k
Plasma	Nonspecific lipid-transfer protein:isoform SCPx	25049-8	ENSG00000116171	P22307	combined	seq.25049.8	Somalogic	proteomics	SomaScan	7k
Plasma	Tripeptidyl-peptidase 2	25050-82	ENSG00000134900	P29144	combined	seq.25050.82	Somalogic	proteomics	SomaScan	7k
Plasma	Fat mass and obesity-associated protein	25051-104	ENSG00000140718	Q9C0B1	combined	seq.25051.104	Somalogic	proteomics	SomaScan	7k
Plasma	Cytokine receptor-like factor 3	25052-3	ENSG00000176390	Q8IUI8	combined	seq.25052.3	Somalogic	proteomics	SomaScan	7k
Plasma	Cytoplasmic dynein 1 light intermediate chain 2	25053-1	ENSG00000135720	O43237	combined	seq.25053.1	Somalogic	proteomics	SomaScan	7k
Plasma	Pre-mRNA-processing factor 19	25054-15	ENSG00000110107	Q9UMS4	combined	seq.25054.15	Somalogic	proteomics	SomaScan	7k
Plasma	GDNF family receptor alpha-3	2505-49	ENSG00000146013	O60609	combined	seq.2505.49	Somalogic	proteomics	SomaScan	7k
Plasma	Oxysterol-binding protein 1	25055-56	ENSG00000110048	P22059	combined	seq.25055.56	Somalogic	proteomics	SomaScan	7k
Plasma	Alpha-actinin-4	25057-2	ENSG00000282844|ENSG00000130402	O43707	combined	seq.25057.2	Somalogic	proteomics	SomaScan	7k
Plasma	Membrane-associated phosphatidylinositol transfer protein 3	25058-23	ENSG00000091622	Q9BZ71	combined	seq.25058.23	Somalogic	proteomics	SomaScan	7k
Plasma	Histone deacetylase 6	25059-18	ENSG00000094631	Q9UBN7	combined	seq.25059.18	Somalogic	proteomics	SomaScan	7k
Plasma	NADP-dependent malic enzyme	25060-18	ENSG00000065833	P48163	combined	seq.25060.18	Somalogic	proteomics	SomaScan	7k
Plasma	Engulfment and cell motility protein 2	25061-8	ENSG00000062598	Q96JJ3	combined	seq.25061.8	Somalogic	proteomics	SomaScan	7k
Plasma	Type I inositol-3,4-bisphosphate 4-phosphatase	25064-34	ENSG00000040933	Q96PE3	combined	seq.25064.34	Somalogic	proteomics	SomaScan	7k
Plasma	Myosin-binding protein H	25065-22	ENSG00000133055	Q13203	combined	seq.25065.22	Somalogic	proteomics	SomaScan	7k
Plasma	Glycogenin-2	25066-32	ENSG00000056998	O15488	combined	seq.25066.32	Somalogic	proteomics	SomaScan	7k
Plasma	Glutamate dehydrogenase 2, mitochondrial	25068-131	ENSG00000288118|ENSG00000182890	P49448	combined	seq.25068.131	Somalogic	proteomics	SomaScan	7k
Plasma	Protein-methionine sulfoxide oxidase MICAL1	25070-18	ENSG00000135596	Q8TDZ2	combined	seq.25070.18	Somalogic	proteomics	SomaScan	7k
Plasma	Chromodomain-helicase-DNA-binding protein 1-like	25072-11	ENSG00000131778	Q86WJ1	combined	seq.25072.11	Somalogic	proteomics	SomaScan	7k
Plasma	Ubiquitin conjugation factor E4 A	25073-13	ENSG00000110344	Q14139	combined	seq.25073.13	Somalogic	proteomics	SomaScan	7k
Plasma	Putative glycerol kinase 5	25074-119	ENSG00000175066	Q6ZS86	combined	seq.25074.119	Somalogic	proteomics	SomaScan	7k
Plasma	Zinc finger and BTB domain-containing protein 10	25075-2	ENSG00000205189	Q96DT7	combined	seq.25075.2	Somalogic	proteomics	SomaScan	7k
Plasma	Selenium-binding protein 1	25076-2	ENSG00000143416	Q13228	combined	seq.25076.2	Somalogic	proteomics	SomaScan	7k
Plasma	Cysteine protease ATG4C	25078-13	ENSG00000125703	Q96DT6	combined	seq.25078.13	Somalogic	proteomics	SomaScan	7k
Plasma	UDP-glucuronosyltransferase 2B15	25080-16	ENSG00000196620	P54855	combined	seq.25080.16	Somalogic	proteomics	SomaScan	7k
Plasma	Protein FAM160B1	25081-6	ENSG00000151553	Q5W0V3	combined	seq.25081.6	Somalogic	proteomics	SomaScan	7k
Plasma	Neural Wiskott-Aldrich syndrome protein	25082-3	ENSG00000106299	O00401	combined	seq.25082.3	Somalogic	proteomics	SomaScan	7k
Plasma	Protein diaphanous homolog 1	25083-26	ENSG00000131504	O60610	combined	seq.25083.26	Somalogic	proteomics	SomaScan	7k
Plasma	Tether containing UBX domain for GLUT4	25085-37	ENSG00000169696	Q9BZE9	combined	seq.25085.37	Somalogic	proteomics	SomaScan	7k
Plasma	GRAM domain-containing protein 2B	25086-83	ENSG00000155324	Q96HH9	combined	seq.25086.83	Somalogic	proteomics	SomaScan	7k
Plasma	Dystrobrevin alpha	25087-11	ENSG00000134769	Q9Y4J8	combined	seq.25087.11	Somalogic	proteomics	SomaScan	7k
Plasma	Phosphorylase b kinase regulatory subunit alpha, skeletal muscle isoform	25088-42	ENSG00000067177	P46020	combined	seq.25088.42	Somalogic	proteomics	SomaScan	7k
Plasma	Transcription intermediary factor 1-beta	25089-21	ENSG00000130726	Q13263	combined	seq.25089.21	Somalogic	proteomics	SomaScan	7k
Plasma	SLIT-ROBO Rho GTPase-activating protein 2	25091-83	ENSG00000266028	O75044	combined	seq.25091.83	Somalogic	proteomics	SomaScan	7k
Plasma	ATP-dependent RNA helicase DDX1	25092-32	ENSG00000079785	Q92499	combined	seq.25092.32	Somalogic	proteomics	SomaScan	7k
Plasma	Vang-like protein 1	25093-96	ENSG00000173218	Q8TAA9	combined	seq.25093.96	Somalogic	proteomics	SomaScan	7k
Plasma	Acetyl-coenzyme A synthetase, cytoplasmic	25094-9	ENSG00000131069	Q9NR19	combined	seq.25094.9	Somalogic	proteomics	SomaScan	7k
Plasma	Synphilin-1	25095-1	ENSG00000064692	Q9Y6H5	combined	seq.25095.1	Somalogic	proteomics	SomaScan	7k
Plasma	Myosin-binding protein C, fast-type	25096-58	ENSG00000086967	Q14324	combined	seq.25096.58	Somalogic	proteomics	SomaScan	7k
Plasma	Calcium-dependent secretion activator 2	25099-4	ENSG00000081803	Q86UW7	combined	seq.25099.4	Somalogic	proteomics	SomaScan	7k
Plasma	C-Maf-inducing protein	25100-11	ENSG00000153815	Q8IY22	combined	seq.25100.11	Somalogic	proteomics	SomaScan	7k
Plasma	Elongator complex protein 1	25102-23	ENSG00000070061	O95163	combined	seq.25102.23	Somalogic	proteomics	SomaScan	7k
Plasma	Vacuolar protein sorting-associated protein 53 homolog	25103-45	ENSG00000283883|ENSG00000141252	Q5VIR6	combined	seq.25103.45	Somalogic	proteomics	SomaScan	7k
Plasma	Transcription factor CP2-like protein 1	25104-10	ENSG00000115112	Q9NZI6	combined	seq.25104.10	Somalogic	proteomics	SomaScan	7k
Plasma	Eukaryotic translation initiation factor 2A	25105-70	ENSG00000144895	Q9BY44	combined	seq.25105.70	Somalogic	proteomics	SomaScan	7k
Plasma	Eukaryotic translation initiation factor 2A	25105-87	ENSG00000144895	Q9BY44	combined	seq.25105.87	Somalogic	proteomics	SomaScan	7k
Plasma	Arginyl-tRNA--protein transferase 1	25108-6	ENSG00000107669	O95260	combined	seq.25108.6	Somalogic	proteomics	SomaScan	7k
Plasma	Exocyst complex component 7	25110-19	ENSG00000182473	Q9UPT5	combined	seq.25110.19	Somalogic	proteomics	SomaScan	7k
Plasma	E3 ubiquitin-protein ligase RAD18	25111-24	ENSG00000070950	Q9NS91	combined	seq.25111.24	Somalogic	proteomics	SomaScan	7k
Plasma	Ribosomal protein S6 kinase beta-2	25112-6	ENSG00000175634	Q9UBS0	combined	seq.25112.6	Somalogic	proteomics	SomaScan	7k
Plasma	TBC1 domain family member 24	25114-256	ENSG00000162065	Q9ULP9	combined	seq.25114.256	Somalogic	proteomics	SomaScan	7k
Plasma	FH1/FH2 domain-containing protein 1	25115-21	ENSG00000135723	Q9Y613	combined	seq.25115.21	Somalogic	proteomics	SomaScan	7k
Plasma	Coiled-coil domain-containing protein 9	25116-11	ENSG00000105321	Q9Y3X0	combined	seq.25116.11	Somalogic	proteomics	SomaScan	7k
Plasma	PGM5	25117-17	ENSG00000154330	Q15124	combined	seq.25117.17	Somalogic	proteomics	SomaScan	7k
Plasma	Protein bicaudal D homolog 1	25118-45	ENSG00000151746	Q96G01	combined	seq.25118.45	Somalogic	proteomics	SomaScan	7k
Plasma	Nodal modulator 2	25121-7	ENSG00000185164	Q5JPE7	combined	seq.25121.7	Somalogic	proteomics	SomaScan	7k
Plasma	DNA-(apurinic or apyrimidinic site) lyase 2	25123-198	ENSG00000169188	Q9UBZ4	combined	seq.25123.198	Somalogic	proteomics	SomaScan	7k
Plasma	Zinc finger and BTB domain-containing protein 7A	25124-21	ENSG00000178951	O95365	combined	seq.25124.21	Somalogic	proteomics	SomaScan	7k
Plasma	SH3 and cysteine-rich domain-containing protein	25125-7	ENSG00000144681	Q99469	combined	seq.25125.7	Somalogic	proteomics	SomaScan	7k
Plasma	E3 ubiquitin-protein ligase HECW2	25126-19	ENSG00000138411	Q9P2P5	combined	seq.25126.19	Somalogic	proteomics	SomaScan	7k
Plasma	Ephrin-B3:Extracellular domain	2514-65	ENSG00000108947	Q15768	combined	seq.2514.65	Somalogic	proteomics	SomaScan	7k
Plasma	GDNF family receptor alpha-2	2515-14	ENSG00000168546	O00451	combined	seq.2515.14	Somalogic	proteomics	SomaScan	7k
Plasma	C-C motif chemokine 21	2516-57	ENSG00000137077	O00585	combined	seq.2516.57	Somalogic	proteomics	SomaScan	7k
Plasma	Sodium/potassium-transporting ATPase gamma chain	25209-15	ENSG00000137731	P54710	combined	seq.25209.15	Somalogic	proteomics	SomaScan	7k
Plasma	Guanine nucleotide-binding protein G(I)/G(S)/G(O) gamma-12 subunit	25211-14	ENSG00000172380	Q9UBI6	combined	seq.25211.14	Somalogic	proteomics	SomaScan	7k
Plasma	Mitochondrial import inner membrane translocase subunit Tim10	25215-1	ENSG00000134809	P62072	combined	seq.25215.1	Somalogic	proteomics	SomaScan	7k
Plasma	Calgranulin A	25216-8	ENSG00000143546	P05109	combined	seq.25216.8	Somalogic	proteomics	SomaScan	7k
Plasma	Sperm protein associated with the nucleus on the X chromosome A	25217-35	ENSG00000198021|ENSG00000203926	Q9NS26	combined	seq.25217.35	Somalogic	proteomics	SomaScan	7k
Plasma	Signal peptidase complex subunit 1	25218-10	ENSG00000114902	Q9Y6A9	combined	seq.25218.10	Somalogic	proteomics	SomaScan	7k
Plasma	V-type proton ATPase subunit F	25219-17	ENSG00000128524	Q16864	combined	seq.25219.17	Somalogic	proteomics	SomaScan	7k
Plasma	Cysteine-rich tail protein 1	25220-8	ENSG00000197191	A8MQ03	combined	seq.25220.8	Somalogic	proteomics	SomaScan	7k
Plasma	Ferritin heavy polypeptide-like 17	25225-14	ENSG00000132446	Q9BXU8	combined	seq.25225.14	Somalogic	proteomics	SomaScan	7k
Plasma	Transcription elongation factor A protein-like 2	25227-20	ENSG00000184905	Q9H3H9	combined	seq.25227.20	Somalogic	proteomics	SomaScan	7k
Plasma	EH domain-containing protein 3	25232-4	ENSG00000013016	Q9NZN3	combined	seq.25232.4	Somalogic	proteomics	SomaScan	7k
Plasma	C-C motif chemokine 5	2523-31	ENSG00000271503|ENSG00000274233	P13501	combined	seq.2523.31	Somalogic	proteomics	SomaScan	7k
Plasma	Mannose-6-phosphate isomerase	25233-2	ENSG00000178802	P34949	combined	seq.25233.2	Somalogic	proteomics	SomaScan	7k
Plasma	Diphthine methyltransferase	25235-2	ENSG00000148399	Q9BTV6	combined	seq.25235.2	Somalogic	proteomics	SomaScan	7k
Plasma	Methyltransferase-like 26	25236-11	ENSG00000130731	Q96S19	combined	seq.25236.11	Somalogic	proteomics	SomaScan	7k
Plasma	Apoptosis facilitator Bcl-2-like protein 14	25238-6	ENSG00000121380|ENSG00000281449	Q9BZR8	combined	seq.25238.6	Somalogic	proteomics	SomaScan	7k
Plasma	Protein-lysine N-methyltransferase EEF2KMT	25240-1	ENSG00000118894	Q96G04	combined	seq.25240.1	Somalogic	proteomics	SomaScan	7k
Plasma	Ciliogenesis-associated TTC17-interacting protein	25242-12	ENSG00000158428	Q7Z7H3	combined	seq.25242.12	Somalogic	proteomics	SomaScan	7k
Plasma	Probable E3 ubiquitin-protein ligase HECTD3	25244-9	ENSG00000126107	Q5T447	combined	seq.25244.9	Somalogic	proteomics	SomaScan	7k
Plasma	Synembryn-A	25245-22	ENSG00000177963	Q9NPQ8	combined	seq.25245.22	Somalogic	proteomics	SomaScan	7k
Plasma	High mobility group protein B1	2524-56	ENSG00000189403	P09429	combined	seq.2524.56	Somalogic	proteomics	SomaScan	7k
Plasma	Armadillo repeat-containing protein 8	25247-12	ENSG00000114098	Q8IUR7	combined	seq.25247.12	Somalogic	proteomics	SomaScan	7k
Plasma	Protein numb homolog	25248-28	ENSG00000133961	P49757	combined	seq.25248.28	Somalogic	proteomics	SomaScan	7k
Plasma	Pyruvate dehydrogenase E1 component subunit alpha, testis-specific form, mitochondrial	25249-33	ENSG00000163114	P29803	combined	seq.25249.33	Somalogic	proteomics	SomaScan	7k
Plasma	Ectonucleotide pyrophosphatase/phosphodiesterase family member 3	25251-6	ENSG00000154269	O14638	combined	seq.25251.6	Somalogic	proteomics	SomaScan	7k
Plasma	MTSS1-like protein	25252-29	ENSG00000132613	Q765P7	combined	seq.25252.29	Somalogic	proteomics	SomaScan	7k
Plasma	Guanine nucleotide-binding protein G(s) subunit alpha isoforms	25253-17	ENSG00000087460	Q5JWF2|P63092	combined	seq.25253.17	Somalogic	proteomics	SomaScan	7k
Plasma	Transmembrane and ubiquitin-like domain-containing protein 1	25255-4	ENSG00000164897	Q9BVT8	combined	seq.25255.4	Somalogic	proteomics	SomaScan	7k
Plasma	Elongation factor 1-alpha 1	25256-153		P68104	combined	seq.25256.153	Somalogic	proteomics	SomaScan	7k
Plasma	Elongation factor 1-alpha 1	25256-23		P68104	combined	seq.25256.23	Somalogic	proteomics	SomaScan	7k
Plasma	Oligodendrocyte transcription factor 1	25257-162	ENSG00000184221	Q8TAK6	combined	seq.25257.162	Somalogic	proteomics	SomaScan	7k
Plasma	Spermatogenesis-associated protein 5	25258-41	ENSG00000145375	Q8NB90	combined	seq.25258.41	Somalogic	proteomics	SomaScan	7k
Plasma	Uncharacterized protein C17orf62	25259-7	ENSG00000178927	Q9BQA9	combined	seq.25259.7	Somalogic	proteomics	SomaScan	7k
Plasma	Uncharacterized protein C15orf17	25260-62	ENSG00000178761	Q5XKK7	combined	seq.25260.62	Somalogic	proteomics	SomaScan	7k
Plasma	Ankyrin repeat and SAM domain-containing protein 3	25261-42	ENSG00000168096	Q6ZW76	combined	seq.25261.42	Somalogic	proteomics	SomaScan	7k
Plasma	Centromere/kinetochore protein zw10 homolog	25262-6	ENSG00000086827	O43264	combined	seq.25262.6	Somalogic	proteomics	SomaScan	7k
Plasma	Rho GTPase-activating protein 24	25263-4	ENSG00000138639	Q8N264	combined	seq.25263.4	Somalogic	proteomics	SomaScan	7k
Plasma	SHIP	25264-102	ENSG00000281614|ENSG00000168918	Q92835	combined	seq.25264.102	Somalogic	proteomics	SomaScan	7k
Plasma	Formin-binding protein 1	25265-8	ENSG00000187239	Q96RU3	combined	seq.25265.8	Somalogic	proteomics	SomaScan	7k
Plasma	Oxysterol-binding protein-related protein 1	25266-14	ENSG00000141447	Q9BXW6	combined	seq.25266.14	Somalogic	proteomics	SomaScan	7k
Plasma	Probable transcription factor PML	25270-3	ENSG00000140464	P29590	combined	seq.25270.3	Somalogic	proteomics	SomaScan	7k
Plasma	Cadherin-23	25272-17	ENSG00000107736	Q9H251	combined	seq.25272.17	Somalogic	proteomics	SomaScan	7k
Plasma	Caldesmon	25273-80	ENSG00000122786	Q05682	combined	seq.25273.80	Somalogic	proteomics	SomaScan	7k
Plasma	Ankyrin repeat domain-containing protein 2	25274-2	ENSG00000165887	Q9GZV1	combined	seq.25274.2	Somalogic	proteomics	SomaScan	7k
Plasma	Histone deacetylase 4	25275-30	ENSG00000068024	P56524	combined	seq.25275.30	Somalogic	proteomics	SomaScan	7k
Plasma	Rab-like protein 6	25276-32	ENSG00000196642	Q3YEC7	combined	seq.25276.32	Somalogic	proteomics	SomaScan	7k
Plasma	Pantothenate kinase 1	25277-51	ENSG00000152782	Q8TE04	combined	seq.25277.51	Somalogic	proteomics	SomaScan	7k
Plasma	Rho GTPase-activating protein 6	25278-41	ENSG00000047648	O43182	combined	seq.25278.41	Somalogic	proteomics	SomaScan	7k
Plasma	Nuclear valosin-containing protein-like	25279-44	ENSG00000143748	O15381	combined	seq.25279.44	Somalogic	proteomics	SomaScan	7k
Plasma	LIM domain-containing protein 1	25280-2	ENSG00000144791	Q9UGP4	combined	seq.25280.2	Somalogic	proteomics	SomaScan	7k
Plasma	Dipeptidyl peptidase 8	25281-50	ENSG00000074603	Q6V1X1	combined	seq.25281.50	Somalogic	proteomics	SomaScan	7k
Plasma	Antizyme inhibitor 1	25282-6	ENSG00000155096	O14977	combined	seq.25282.6	Somalogic	proteomics	SomaScan	7k
Plasma	Catenin alpha-3	25283-2	ENSG00000183230	Q9UI47	combined	seq.25283.2	Somalogic	proteomics	SomaScan	7k
Plasma	Ubiquitin-like modifier-activating enzyme 6	25284-47	ENSG00000033178	A0AVT1	combined	seq.25284.47	Somalogic	proteomics	SomaScan	7k
Plasma	Kelch repeat and BTB domain-containing protein 11	25285-14	ENSG00000176595|ENSG00000273645	O94819	combined	seq.25285.14	Somalogic	proteomics	SomaScan	7k
Plasma	Rab GTPase-activating protein 1-like	25286-33	ENSG00000152061	Q5R372	combined	seq.25286.33	Somalogic	proteomics	SomaScan	7k
Plasma	Eukaryotic translation initiation factor 4 gamma 1	25287-7	ENSG00000114867	Q04637	combined	seq.25287.7	Somalogic	proteomics	SomaScan	7k
Plasma	Dimethylaniline monooxygenase [N-oxide-forming] 3	25288-16	ENSG00000007933	P31513	combined	seq.25288.16	Somalogic	proteomics	SomaScan	7k
Plasma	Pleckstrin homology domain-containing family M member 2	25291-27	ENSG00000116786	Q8IWE5	combined	seq.25291.27	Somalogic	proteomics	SomaScan	7k
Plasma	Carboxylesterase 3	25292-4	ENSG00000172828	Q6UWW8	combined	seq.25292.4	Somalogic	proteomics	SomaScan	7k
Plasma	Carboxylesterase 3	25292-6	ENSG00000172828	Q6UWW8	combined	seq.25292.6	Somalogic	proteomics	SomaScan	7k
Plasma	Angiomotin	25296-3	ENSG00000126016	Q4VCS5	combined	seq.25296.3	Somalogic	proteomics	SomaScan	7k
Plasma	SH3 and PX domain-containing protein 2B	25297-11	ENSG00000174705	A1X283	combined	seq.25297.11	Somalogic	proteomics	SomaScan	7k
Plasma	Lysine-specific demethylase 4C	25298-53	ENSG00000107077	Q9H3R0	combined	seq.25298.53	Somalogic	proteomics	SomaScan	7k
Plasma	Nuclear receptor coactivator 7	25299-11	ENSG00000111912	Q8NI08	combined	seq.25299.11	Somalogic	proteomics	SomaScan	7k
Plasma	Mucosa-associated lymphoid tissue lymphoma translocation protein 1	25300-39	ENSG00000172175	Q9UDY8	combined	seq.25300.39	Somalogic	proteomics	SomaScan	7k
Plasma	Dual specificity tyrosine-phosphorylation-regulated kinase 1A	25301-48	ENSG00000157540	Q13627	combined	seq.25301.48	Somalogic	proteomics	SomaScan	7k
Plasma	DAXX	25306-51	ENSG00000231617|ENSG00000227046|ENSG00000206279|ENSG00000206206|ENSG00000204209	Q9UER7	combined	seq.25306.51	Somalogic	proteomics	SomaScan	7k
Plasma	WD repeat-containing protein 18	25307-8	ENSG00000065268	Q9BV38	combined	seq.25307.8	Somalogic	proteomics	SomaScan	7k
Plasma	LIM domain kinase 1	25308-8	ENSG00000106683	P53667	combined	seq.25308.8	Somalogic	proteomics	SomaScan	7k
Plasma	Coiled-coil domain-containing protein 140	25409-5	ENSG00000163081	Q96MF4	combined	seq.25409.5	Somalogic	proteomics	SomaScan	7k
Plasma	FXYD domain-containing ion transport regulator 6	25412-53	ENSG00000137726	Q9H0Q3	combined	seq.25412.53	Somalogic	proteomics	SomaScan	7k
Plasma	G antigen 2	25413-80		Q13066	combined	seq.25413.80	Somalogic	proteomics	SomaScan	7k
Plasma	Late cornified envelope protein 3B	25414-11	ENSG00000187238	Q5TA77	combined	seq.25414.11	Somalogic	proteomics	SomaScan	7k
Plasma	Periaxin	25416-5	ENSG00000105227	Q9BXM0	combined	seq.25416.5	Somalogic	proteomics	SomaScan	7k
Plasma	Sperm protein associated with the nucleus on the X chromosome N4	25419-59	ENSG00000189326	Q5MJ08	combined	seq.25419.59	Somalogic	proteomics	SomaScan	7k
Plasma	Ribonuclease P protein subunit p40	25422-58	ENSG00000124787	O75818	combined	seq.25422.58	Somalogic	proteomics	SomaScan	7k
Plasma	Synaptotagmin-12	25424-234	ENSG00000173227	Q8IV01	combined	seq.25424.234	Somalogic	proteomics	SomaScan	7k
Plasma	Interferon-related developmental regulator 1	25428-103	ENSG00000006652	O00458	combined	seq.25428.103	Somalogic	proteomics	SomaScan	7k
Plasma	Putative methyltransferase NSUN6	25433-25	ENSG00000241058	Q8TEA1	combined	seq.25433.25	Somalogic	proteomics	SomaScan	7k
Plasma	Saccharopine dehydrogenase-like oxidoreductase	25436-44	ENSG00000143653	Q8NBX0	combined	seq.25436.44	Somalogic	proteomics	SomaScan	7k
Plasma	Ankyrin repeat and MYND domain-containing protein 2	25437-18	ENSG00000106524	Q8IV38	combined	seq.25437.18	Somalogic	proteomics	SomaScan	7k
Plasma	5'-nucleotidase domain-containing protein 1	25438-288	ENSG00000178425	Q5TFE4	combined	seq.25438.288	Somalogic	proteomics	SomaScan	7k
Plasma	Type I inositol 1,4,5-trisphosphate 5-phosphatase	25444-29	ENSG00000068383	Q14642	combined	seq.25444.29	Somalogic	proteomics	SomaScan	7k
Plasma	Protein DDI1 homolog 2	25446-34	ENSG00000197312	Q5TDH0	combined	seq.25446.34	Somalogic	proteomics	SomaScan	7k
Plasma	Transcriptional coactivator YAP1	25451-39	ENSG00000137693	P46937	combined	seq.25451.39	Somalogic	proteomics	SomaScan	7k
Plasma	Myb/SANT-like DNA-binding domain-containing protein 2	25452-16	ENSG00000120458	Q6P1R3	combined	seq.25452.16	Somalogic	proteomics	SomaScan	7k
Plasma	Ropporin-1B	25453-57	ENSG00000114547	Q9BZX4	combined	seq.25453.57	Somalogic	proteomics	SomaScan	7k
Plasma	Protein arginine N-methyltransferase 2	25454-38	ENSG00000160310	P55345	combined	seq.25454.38	Somalogic	proteomics	SomaScan	7k
Plasma	26S protease regulatory subunit 8	25456-73	ENSG00000087191	P62195	combined	seq.25456.73	Somalogic	proteomics	SomaScan	7k
Plasma	O-acetyl-ADP-ribose deacetylase MACROD2	25459-3	ENSG00000172264	A1Z1Q3	combined	seq.25459.3	Somalogic	proteomics	SomaScan	7k
Plasma	Interferon regulatory factor 5	25460-36	ENSG00000128604	Q13568	combined	seq.25460.36	Somalogic	proteomics	SomaScan	7k
Plasma	S-arrestin	25461-3	ENSG00000281857|ENSG00000130561	P10523	combined	seq.25461.3	Somalogic	proteomics	SomaScan	7k
Plasma	cAMP-dependent protein kinase type II-beta regulatory subunit	25463-3	ENSG00000005249|ENSG00000284096	P31323	combined	seq.25463.3	Somalogic	proteomics	SomaScan	7k
Plasma	Cytochrome P450 2C19	25464-1	ENSG00000165841	P33261	combined	seq.25464.1	Somalogic	proteomics	SomaScan	7k
Plasma	Muscular LMNA-interacting protein	25465-42	ENSG00000146147	Q5VWP3	combined	seq.25465.42	Somalogic	proteomics	SomaScan	7k
Plasma	Kynurenine 3-monooxygenase	25466-84	ENSG00000117009	O15229	combined	seq.25466.84	Somalogic	proteomics	SomaScan	7k
Plasma	SOX-9	25468-5	ENSG00000125398	P48436	combined	seq.25468.5	Somalogic	proteomics	SomaScan	7k
Plasma	Brain-enriched guanylate kinase-associated protein	25472-12	ENSG00000183092	Q9BUH8	combined	seq.25472.12	Somalogic	proteomics	SomaScan	7k
Plasma	Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha	25473-62	ENSG00000168522	P49354	combined	seq.25473.62	Somalogic	proteomics	SomaScan	7k
Plasma	Leucine-rich repeat flightless-interacting protein 2	25479-8	ENSG00000093167	Q9Y608	combined	seq.25479.8	Somalogic	proteomics	SomaScan	7k
