trait_tissue	trait_desc	trait_seqid	trait_gene_ids	trait_protein_ids	notes_sex	notes_source_id	notes_maker	notes_maker_platform_technology	notes_maker_platform_description	notes_maker_platform_version
Plasma	Ectonucleotide pyrophosphatase/phosphodiesterase family member 2	16892-23	ENSG00000136960	Q13822	combined	seq.16892.23	Somalogic	proteomics	SomaScan	7k
Plasma	Oxysterol-binding protein-related protein 9	16899-59	ENSG00000117859	Q96SU4	combined	seq.16899.59	Somalogic	proteomics	SomaScan	7k
Plasma	MAM domain-containing glycosylphosphatidylinositol anchor protein 1	16900-29	ENSG00000112139	Q8NFP4	combined	seq.16900.29	Somalogic	proteomics	SomaScan	7k
Plasma	Lysosome-associated membrane glycoprotein 1	16902-17	ENSG00000185896	P11279	combined	seq.16902.17	Somalogic	proteomics	SomaScan	7k
Plasma	Cell adhesion molecule 2	16907-3	ENSG00000175161	Q8N3J6	combined	seq.16907.3	Somalogic	proteomics	SomaScan	7k
Plasma	Oligodendrocyte-myelin glycoprotein	16908-5	ENSG00000126861	P23515	combined	seq.16908.5	Somalogic	proteomics	SomaScan	7k
Plasma	Ribonuclease T2	16913-8	ENSG00000026297	O00584	combined	seq.16913.8	Somalogic	proteomics	SomaScan	7k
Plasma	Monocyte differentiation antigen CD14, soluble	16914-104	ENSG00000170458	P08571	combined	seq.16914.104	Somalogic	proteomics	SomaScan	7k
Plasma	Semaphorin-4A	16915-153	ENSG00000196189	Q9H3S1	combined	seq.16915.153	Somalogic	proteomics	SomaScan	7k
Plasma	SLIT and NTRK-like protein 6	16916-19		Q9H5Y7	combined	seq.16916.19	Somalogic	proteomics	SomaScan	7k
Plasma	Toll-like receptor 3	16918-198	ENSG00000164342	O15455	combined	seq.16918.198	Somalogic	proteomics	SomaScan	7k
Plasma	Acyl-CoA-binding protein	16919-1	ENSG00000155368	P07108	combined	seq.16919.1	Somalogic	proteomics	SomaScan	7k
Plasma	Plexin-B3	16922-53	ENSG00000198753	Q9ULL4	combined	seq.16922.53	Somalogic	proteomics	SomaScan	7k
Plasma	Profilin-2	16923-20	ENSG00000070087	P35080	combined	seq.16923.20	Somalogic	proteomics	SomaScan	7k
Plasma	Alkaline phosphatase, tissue-nonspecific isozyme	16926-44	ENSG00000162551	P05186	combined	seq.16926.44	Somalogic	proteomics	SomaScan	7k
Plasma	Coagulation factor XIII	16927-9	ENSG00000143278|ENSG00000124491	P05160|P00488	combined	seq.16927.9	Somalogic	proteomics	SomaScan	7k
Plasma	Estrogen sulfotransferase	16932-5	ENSG00000109193	P49888	combined	seq.16932.5	Somalogic	proteomics	SomaScan	7k
Plasma	Hemoglobin subunit beta	17137-160	ENSG00000244734	P68871	combined	seq.17137.160	Somalogic	proteomics	SomaScan	7k
