SeqID	Target_Name	UniProt_BELIEVE	UniProt_Literature	UniProt_Match
seq.25962.51	Serine/threonine-protein kinase WNK1	Q9H4A3	Q9H4A3	True
seq.25963.2	Exportin-5	Q9HAV4	Q9HAV4	True
seq.25964.12	Complement C1q tumor necrosis factor-related protein 4	Q9BXJ3	Q9BXJ3	True
seq.25967.34	Metalloproteinase inhibitor 1	P01033	P01033	True
seq.2597.8	Vascular endothelial growth factor A	P15692	P15692	True
seq.2598.9	Tumor necrosis factor receptor superfamily member 9	Q07011	Q07011	True
seq.2599.51	Tumor necrosis factor ligand superfamily member 9	P41273	P41273	True
seq.2602.2	Angiopoietin-2	O15123	O15123	True
seq.2603.61	T-lymphocyte activation antigen CD80	P33681	P33681	True
seq.2605.49	Tumor necrosis factor receptor superfamily member 8	P28908	P28908	True
seq.2607.54	Cytokine receptor-like factor 1:Cardiotrophin-like cytokine factor 1 Complex	O75462|Q9UBD9	O75462|Q9UBD9	True
seq.2609.59	Cystatin-C	P01034	P01034	True
seq.2611.72	Tyrosine-protein kinase receptor TYRO3	Q06418	Q06418	True
seq.2612.5	Eukaryotic translation initiation factor 5	P55010	P55010	True
seq.2614.28	Ephrin-A4	P52798	P52798	True
seq.2615.60	Ephrin-A5	P52803	P52803	True
seq.2616.23	Receptor tyrosine-protein kinase erbB-2	P04626	P04626	True
seq.2617.56	Receptor tyrosine-protein kinase erbB-3	P21860	P21860	True
seq.2618.10	Receptor tyrosine-protein kinase erbB-4	Q15303	Q15303	True
seq.2619.72	Tumor-associated calcium signal transducer 2	P09758	P09758	True
seq.2620.4	Interleukin-6 receptor subunit beta	P40189	P40189	True
seq.2622.18	Heme oxygenase 2	P30519	P30519	True
seq.2630.12	Interleukin-1 Receptor accessory protein	Q9NPH3	Q9NPH3	True
seq.2631.50	Interleukin-10 receptor subunit beta	Q08334	Q08334	True
seq.2632.5	Interleukin-12 receptor subunit beta-1	P42701	P42701	True
seq.2633.52	Interleukin-13 receptor subunit alpha-1	P78552	P78552	True
seq.2634.2	Cytokine receptor common subunit gamma	P31785	P31785	True
seq.2635.61	Layilin	Q6UX15	Q6UX15	True
seq.2636.10	Tumor necrosis factor receptor superfamily member 3	P36941	P36941	True
seq.2637.77	Macrophage mannose receptor 1	P22897	P22897	True
seq.2638.12	Macrophage colony-stimulating factor 1 receptor	P07333	P07333	True
seq.2640.3	Macrophage-stimulating protein receptor	Q04912	Q04912	True
seq.2642.4	Platelet-activating factor acetylhydrolase IB subunit beta	P68402	P68402	True
seq.2643.57	Cadherin-3	P22223	P22223	True
seq.2644.11	Protein kinase C alpha type	P17252	P17252	True
seq.2645.54	Protein kinase C zeta type	Q05513	Q05513	True
seq.2647.66	Rab GDP dissociation inhibitor beta	P50395	P50395	True
seq.2649.77	Intercellular adhesion molecule 3	P32942	P32942	True
seq.2652.15	Urokinase plasminogen activator surface receptor	Q03405	Q03405	True
seq.2654.19	Tumor necrosis factor receptor superfamily member 1A	P19438	P19438	True
seq.2658.27	NT-3 growth factor receptor	Q16288	Q16288	True
